ID,Metric,Category / applies to,What it measures,Objective / Subjective,Formula / how it is calculated,Tools / packages (Python | R),Reference (definition paper / DOI),Lead
20,AMI — Adjusted Mutual Info,General,Clustering (chance-adjusted),Objective,"AMI = (MI-E[MI])/(mean(H(U),H(V))-E[MI])",scikit-learn  |  aricode (AMI); clevr,"Vinh et al. 2010, JMLR 11:2837-2854",
21,Homogeneity (HOM),General / Spatial,Each cluster holds one class,Objective,h = 1 - H(C|K)/H(C),scikit-learn; SDMBench  |  clevr (homogeneity),"Rosenberg & Hirschberg 2007, EMNLP-CoNLL; Yuan et al. 2024, Nat Methods 21:712-722",
22,Completeness (COM),General / Spatial,All of a class in one cluster,Objective,c = 1 - H(K|C)/H(K),scikit-learn; SDMBench  |  clevr (completeness),"Rosenberg & Hirschberg 2007, EMNLP-CoNLL; Yuan et al. 2024, Nat Methods 21:712-722",
23,Calinski-Harabasz (CHI),General,Between/within dispersion ratio,Objective,CHI = [tr(B)/(k-1)] / [tr(W)/(n-k)],scikit-learn  |  fpc (cluster.stats); clusterSim (index.G1); NbClust,Caliński & Harabasz 1974 (10.1080/03610927408827101),
24,Davies-Bouldin (DBI),General,Cluster separation (lower=better),Objective,"DBI = (1/k) Σ_i max_{j≠i} (s_i+s_j)/d(c_i,c_j)",scikit-learn  |  clusterSim (index.DB); NbClust,Davies & Bouldin 1979 (10.1109/TPAMI.1979.4766909),
25,Label assortativity,Spatial,Spatial aggregation of clusters,Objective,Mean scaled avg-k (neighbours sharing a label vs random); 0-1,squidpy  |  semla; igraph (assortativity),"Palla et al. 2022 (squidpy), Nat Methods 19:171-178 (10.1038/s41592-021-01358-2); Newman 2003 (10.1103/PhysRevE.67.026126)",
26,Neighbourhood enrichment Z,Spatial,Cluster-cluster attraction/repulsion,Objective,Permutation Z-score of observed vs expected adjacency per cluster pair,squidpy  |  semla; Giotto,"Palla et al. 2022 (squidpy), Nat Methods 19:171-178 (10.1038/s41592-021-01358-2)",
27,Runtime,General,Computational cost,Objective,Wall-clock seconds on fixed dataset & hardware,SDMBench; SpatialMETA  |  base (system.time); bench; microbenchmark,"Yuan et al. 2024, Nat Methods 21:712-722; Yang et al. 2025, Nat Commun (10.1038/s41467-025-63915-z)",
28,Peak memory,General,Computational cost,Objective,Maximum resident set size (GB),SDMBench; SpatialMETA  |  peakRAM; bench; profmem,"Yuan et al. 2024, Nat Methods 21:712-722; Yang et al. 2025, Nat Commun (10.1038/s41467-025-63915-z)",
29,Scalability,General,Scaling behaviour,Objective,Time / memory vs n spots (e.g. 10k-100k),SpatialMETA  |  bench; custom,"Yang et al. 2025, Nat Commun (10.1038/s41467-025-63915-z)",
30,Run-to-run stability ARI,General,Reproducibility across runs,Objective,Mean pairwise ARI of labels across N seeds,custom  |  mclust / aricode (repeat runs),WG2 convention,
31,Metric CV across runs,General,Reproducibility,Objective,CV = σ/μ of a metric over N runs,custom  |  base (sd / mean),WG2 convention,
32,Documentation quality,General,Usability,Subjective,Reviewer score 1-5 (see README),reviewer panel  |  —,WG2 convention,
33,Usability / ease of setup,General,Usability,Subjective,Reviewer score 1-5 + notes,reviewer panel  |  —,WG2 convention,
34,Clinical adoptability,General,Translational fit,Subjective,Panel rating 1-5 + rationale,reviewer panel  |  —,WG2 convention,
35,Interpretability of output,General,Translational fit,Subjective,Panel rating 1-5,reviewer panel  |  —,WG2 convention,
